player_name	position	team	median_rank	mean_rank	position_rank
Sterling Shepard	WR	NYG	148.0	147.5	55
Kansas City Chiefs	D/ST	Kansas City Chiefs	148.0	152.49333333333334	4
Josh Doctson	WR	WAS	150.0	151.51898734177215	56
Tyler Lockett	WR	SEA	150.0	153.41558441558442	57
C.J. Fiedorowicz	TE	HOU	150.0	156.93243243243242	17
Cameron Brate	TE	TB	151.0	153.96052631578948	18
Blake Bortles	QB	JAC	152.0	166.3272727272727	21
Kevin White	WR	CHI	154.0	157.93333333333334	58
Kenny Stills	WR	MIA	155.0	156.66233766233765	59
Julius Thomas	TE	MIA	155.5	159.5	19
Rex Burkhead	RB	NE	156.0	153.71621621621622	54
Minnesota Vikings	D/ST	Minnesota Vikings	157.0	159.4794520547945	5
Breshad Perriman	WR	BAL	159.5	168.48717948717947	60
Arizona Cardinals	D/ST	Arizona Cardinals	160.0	163.04285714285714	6
Joe Flacco	QB	BAL	161.5	165.01388888888889	22
Cole Beasley	WR	DAL	162.5	170.09722222222223	61
Antonio Gates	TE	LAC	163.0	163.63013698630138	20
DeAndre Washington	RB	OAK	164.5	169.61428571428573	55
Kenny Golladay	WR	DET	165.0	174.97014925373134	62
Sam Bradford	QB	MIN	166.0	168.25757575757575	23
J.J. Nelson	WR	ARI	166.0	172.02597402597402	63
Jonathan Williams	RB	BUF	166.5	171.88235294117646	56
Jay Cutler	QB	MIA	167.5	169.88709677419354	24
Alvin Kamara	RB	NO	167.5	171.65277777777777	57
New England Patriots	D/ST	New England Patriots	168.0	168.70422535211267	7
Marqise Lee	WR	JAC	168.0	171.6891891891892	64
Robert Woods	WR	LAR	168.0	178.2173913043478	65
Taylor Gabriel	WR	ATL	169.0	173.7945205479452	66
Joe Williams	RB	SF	169.5	172.875	58
Stephen Gostkowski	K	NE	171.0	170.16176470588235	1
Justin Tucker	K	BAL	171.0	174.78378378378378	2
Shane Vereen	RB	NYG	174.0	176.6086956521739	59
Chris Thompson	RB	WAS	175.0	176.8955223880597	60
Marlon Mack	RB	IND	175.0	177.44444444444446	61
John Ross	WR	CIN	175.0	179.9264705882353	67
Alex Smith	QB	KC	176.0	178.1076923076923	25
O.J. Howard	TE	TB	176.5	176.88235294117646	21
Matt Bryant	K	ATL	177.0	179.93548387096774	3
Dion Lewis	RB	NE	178.0	175.90769230769232	62
D'Onta Foreman	RB	HOU	178.0	179.97101449275362	63
Dan Bailey	K	DAL	179.0	181.38235294117646	4
Carolina Panthers	D/ST	Carolina Panthers	182.0	178.35211267605635	8
New York Giants	D/ST	New York Giants	183.0	180.52380952380952	9
Charles Sims	RB	TB	185.0	186.74603174603175	64
Mason Crosby	K	GB	185.5	187.2941176470588	5
Devin Funchess	WR	CAR	187.0	183.07462686567163	68
Cooper Kupp	WR	LAR	188.5	189.06451612903226	69
Los Angeles Rams	D/ST	Los Angeles Rams	189.5	192.09677419354838	10
Robert Turbin	RB	IND	189.5	198.83928571428572	65
Allen Hurns	WR	JAC	190.0	184.41176470588235	70
Jalen Richard	RB	OAK	191.0	191.5072463768116	66
Brian Hoyer	QB	SF	193.0	198.0793650793651	26
Jacksonville Jaguars	D/ST	Jacksonville Jaguars	194.0	194.01470588235293	11
Adam Vinatieri	K	IND	194.0	194.6417910447761	6
Nelson Agholor	WR	PHI	194.0	197.74074074074073	71
Jared Cook	TE	OAK	195.0	189.0597014925373	22
Evan Engram	TE	NYG	195.5	189.63235294117646	23
David Njoku	TE	CLE	195.5	194.26470588235293	24
Mike Williams	WR	LAC	195.5	199.97826086956522	72
Mohamed Sanu	WR	ATL	196.0	197.24242424242425	73
Baltimore Ravens	D/ST	Baltimore Ravens	197.0	199.0983606557377	12
Charles Clay	TE	BUF	199.0	198.41538461538462	25
Pittsburgh Steelers	D/ST	Pittsburgh Steelers	200.0	201.23076923076923	13
Austin Seferian-Jenkins	TE	NYJ	200.0	205.5	26
Zach Miller	TE	CHI	200.0	206.1153846153846	27
Philadelphia Eagles	D/ST	Philadelphia Eagles	203.0	203.26984126984127	14
Dwayne Allen	TE	NE	204.0	200.49122807017545	28
Will Fuller	WR	HOU	204.0	202.77551020408163	74
Wendell Smallwood	RB	PHI	204.0	204.4	67
Paul Richardson	WR	SEA	205.0	209.875	75
Malcolm Mitchell	WR	NE	206.0	205.35416666666666	76
Matt Prater	K	DET	208.0	207.70491803278688	7
Tavon Austin	WR	LAR	209.0	199.91803278688525	77
Cincinnati Bengals	D/ST	Cincinnati Bengals	209.0	206.9016393442623	15
T.J. Yeldon	RB	JAC	209.5	206.08333333333334	68
Jesse James	TE	PIT	210.0	209.9344262295082	29
Cairo Santos	K	KC	210.5	207.80645161290323	8
Devontae Booker	RB	DEN	211.5	205.58928571428572	69
Tim Hightower	RB	SF	211.5	206.75862068965517	70
Torrey Smith	WR	PHI	212.0	208.265625	78
Jerick McKinnon	RB	MIN	212.0	212.8793103448276	71
Trevor Siemian	QB	DEN	214.0	210.54545454545453	27
Jared Goff	QB	LAR	214.0	214.92727272727274	28
Steven Hauschka	K	BUF	215.0	210.77272727272728	9
Oakland Raiders	D/ST	Oakland Raiders	215.0	215.72413793103448	16
Chris Conley	WR	KC	216.0	211.98305084745763	79
James Conner	RB	PIT	217.5	215.3653846153846	72
Deshaun Watson	QB	HOU	218.0	215.1904761904762	29
